spring_id,model,horizon,nse,mae,rmse,smape,emissions training [kg CO₂],energy training [kWh],emissions inference [kg CO₂],energy inference [kWh],embedding_dim,dropout,learning_rate,architecture
395012,xLSTM,1,0.27644436471668066,0.3804731596369127,1.148015971810321,51.99046416877469,0.0022421719108716267,0.02023401717207186,1.2037124909852754e-05,0.00010862654685280253,64,0.1,0.0001,only_mlstm
395012,xLSTM,2,0.09661423393364843,0.4887434728516697,1.2852474067691237,72.19732542954057,0.0022421719108716267,0.02023401717207186,1.2037124909852754e-05,0.00010862654685280253,64,0.1,0.0001,only_mlstm
395012,xLSTM,3,0.018448669751005564,0.5064215994756418,1.3406973670213043,69.75380132694596,0.0022421719108716267,0.02023401717207186,1.2037124909852754e-05,0.00010862654685280253,64,0.1,0.0001,only_mlstm
395012,xLSTM,4,-0.02203666603163379,0.5116438619872768,1.3680585018787015,68.30233029500984,0.0022421719108716267,0.02023401717207186,1.2037124909852754e-05,0.00010862654685280253,64,0.1,0.0001,only_mlstm
395038,xLSTM,1,0.8274565207521566,0.7316532775458513,1.4839647103136158,24.712917362547998,0.0036177172996286126,0.032647342342242834,2.2257840649312406e-05,0.00020086128442147426,64,0.1,0.0001,slstm_first
395038,xLSTM,2,0.745651744427807,0.9446336175485206,1.8024533878187592,32.92258937207861,0.0036177172996286126,0.032647342342242834,2.2257840649312406e-05,0.00020086128442147426,64,0.1,0.0001,slstm_first
395038,xLSTM,3,0.7098474477939414,1.0325131834872208,1.9201879596798588,34.79137560054711,0.0036177172996286126,0.032647342342242834,2.2257840649312406e-05,0.00020086128442147426,64,0.1,0.0001,slstm_first
395038,xLSTM,4,0.6775130416233222,1.1332320704190555,2.022372801346955,44.39543601476562,0.0036177172996286126,0.032647342342242834,2.2257840649312406e-05,0.00020086128442147426,64,0.1,0.0001,slstm_first
395053,xLSTM,1,0.7409253259627867,0.15592954829938727,0.27353826424359207,75.43741792465862,0.0006089313183246868,0.005495174875687532,4.375288619848244e-07,0.0001111225325197399,96,0.1,0.0001,only_mlstm
395053,xLSTM,2,0.554946332328023,0.19690535945336465,0.35856626922135215,71.76758957264403,0.0006089313183246868,0.005495174875687532,4.375288619848244e-07,0.0001111225325197399,96,0.1,0.0001,only_mlstm
395053,xLSTM,3,0.5409891178246966,0.21648311986171437,0.36422058931822165,80.7015987249692,0.0006089313183246868,0.005495174875687532,4.375288619848244e-07,0.0001111225325197399,96,0.1,0.0001,only_mlstm
395053,xLSTM,4,0.5054867812137869,0.22375012811614467,0.37811543543971804,81.24419327210971,0.0006089313183246868,0.005495174875687532,4.375288619848244e-07,0.0001111225325197399,96,0.1,0.0001,only_mlstm
395079,xLSTM,1,0.0977152433860543,0.3161980354221531,0.8593928203472404,102.92979882585698,0.0038187075665972884,0.03446113748147573,2.784494674422469e-05,0.0002512809690667499,96,0.1,0.001,slstm_second
395079,xLSTM,2,0.05522572119324676,0.34326774125266984,0.8792370511151384,111.25068195280234,0.0038187075665972884,0.03446113748147573,2.784494674422469e-05,0.0002512809690667499,96,0.1,0.001,slstm_second
395079,xLSTM,3,0.04431448549576744,0.35750364241236754,0.8810506674467218,112.51022527715037,0.0038187075665972884,0.03446113748147573,2.784494674422469e-05,0.0002512809690667499,96,0.1,0.001,slstm_second
395079,xLSTM,4,0.010081597646208418,0.37217986314439666,0.8944344263973407,118.91104633163357,0.0038187075665972884,0.03446113748147573,2.784494674422469e-05,0.0002512809690667499,96,0.1,0.001,slstm_second
395103,xLSTM,1,0.6495949137690327,0.6097442777793266,1.3765575221089041,22.181816657991728,0.005035267806975523,0.0454397340267798,2.7664028057900666e-05,0.0002496483057602125,64,0.1,0.0001,slstm_first
395103,xLSTM,2,0.4393708471218133,0.8140630524675802,1.7414970963025063,26.983320443650722,0.005035267806975523,0.0454397340267798,2.7664028057900666e-05,0.0002496483057602125,64,0.1,0.0001,slstm_first
